ticker,company_name,fiscal_year,report_period_end,industry,D1_score,D2_score,D3_score,D4_score,D5_score,composite_score,risk_level,confidence,capex_millions,revenue_millions,depreciation_expense_millions,ppe_net_millions,file_name
AMD,"Advanced Micro Devices, Inc.",2022,2022-12-31,"Semiconductors / Fabless Chip Design (CPU, GPU, DPU, FPGA, Adaptive SoC)",3,2,3,1,3,2.4,Medium Risk,0.8,450,23601,439,,AMD_FY2022_annotation.json
AMD,"Advanced Micro Devices, Inc.",2023,2023-12-30,"Semiconductors / Fabless Chip Design (CPU, GPU, DPU, FPGA, Adaptive SoC)",3,2,3,1,3,2.4,Medium Risk,0.78,546,22680,441,,AMD_FY2023_annotation.json
AMD,"Advanced Micro Devices, Inc.",2024,2024-12-28,"Semiconductors / Fabless Chip Design (CPU, GPU, DPU, FPGA, Adaptive SoC)",3,2,4,1,3,2.6,Medium Risk,0.8,636,25785,454,,AMD_FY2024_annotation.json
CRM,"Salesforce, Inc.",2023,2023-01-31,Enterprise SaaS / CRM Software / Cloud Applications,3,3,2,1,1,2.1,Medium Risk,0.85,798,31352,903,,CRM_FY2023_annotation.json
CRM,"Salesforce, Inc.",2024,2024-01-31,Enterprise SaaS / CRM Software / Cloud Applications,3,3,2,1,1,2.1,Medium Risk,0.85,736,34857,1100,,CRM_FY2024_annotation.json
CRM,"Salesforce, Inc.",2025,2025-01-31,Enterprise SaaS / CRM Software / Cloud Applications / Agentic AI (Agentforce),3,3,2,1,1,2.1,Medium Risk,0.88,658,37895,1000,,CRM_FY2025_annotation.json
GOOGL,Alphabet Inc.,2022,2022-12-31,Internet / AI / Cloud Computing / Advertising,5,5,2,4,5,4.2,Extremely High Risk,0.85,31500,282836,10200,112204,GOOGL_2022_annotation.json
GOOGL,Alphabet Inc.,2023,2023-12-31,Internet / AI / Cloud Computing / Advertising,5,5,4,3,4,4.25,High Risk,0.9,32251,307394,11946,,GOOGL_2023_annotation.json
GOOGL,Alphabet Inc.,2024,2024-12-31,Internet / AI / Cloud Computing / Advertising,5,4,2,5,5,4.2,Extremely High Risk,0.85,52500,350000,15300,165000,GOOGL_2024_annotation.json
INTC,Intel Corporation,2022,2022-12-31,Semiconductors / IDM (Integrated Device Manufacturing) / Foundry,3,3,4,5,5,3.9,Medium-High Risk,0.88,24844,63054,11128,80860,INTC_FY2022_annotation.json
INTC,Intel Corporation,2023,2023-12-30,Semiconductors / IDM (Integrated Device Manufacturing) / Foundry,4,5,4,5,5,4.55,High Risk,0.9,25750,54228,7847,96647,INTC_FY2023_annotation.json
INTC,Intel Corporation,2024,2024-12-28,Semiconductors / IDM (Integrated Device Manufacturing) / Foundry,4,4,5,5,5,4.55,High Risk,0.92,23944,53101,9951,107919,INTC_FY2024_annotation.json
META,"Meta Platforms, Inc.",2022,2022-12-31,Internet / AI / Social Media / Metaverse (Reality Labs),4,5,5,5,4,4.6,High Risk,0.9,32040,116609,8500,,META_2022_annotation.json
META,"Meta Platforms, Inc.",2023,2023-12-31,Internet / AI / Social Media,4,4,4,4,4,4.0,High Risk,0.85,27266,134902,11178,,META_2023_annotation.json
META,"Meta Platforms, Inc.",2024,2024-12-31,Internet / AI / Social Media,5,5,3,5,5,4.65,Extremely High Risk,0.9,37263,164501,15290,121346,META_2024_annotation.json
MSFT,Microsoft Corporation,2023,2023-06-30,Software / Cloud Infrastructure (Azure) / AI Services / Devices & Gaming,5,5,4,3,5,4.4,High Risk,0.9,28107,211915,11000,,MSFT_FY2023_annotation.json
MSFT,Microsoft Corporation,2024,2024-06-30,Software / Cloud Infrastructure (Azure) / AI Services / Devices & Gaming,5,4,3,4,5,4.2,High Risk,0.9,44477,245122,15200,,MSFT_FY2024_annotation.json
MSFT,Microsoft Corporation,2025,2025-06-30,Software / Cloud Infrastructure (Azure) / AI Services / Devices & Gaming,5,4,3,5,5,4.4,High Risk,0.9,64551,281724,22000,,MSFT_FY2025_annotation.json
MU,"Micron Technology, Inc.",2022,2022-09-01,Semiconductors / Memory (DRAM / NAND) / Storage,4,3,4,5,4,4.0,High Risk,0.85,12067,30758,7030,38549,MU_FY2022_annotation.json
MU,"Micron Technology, Inc.",2023,2023-08-31,Semiconductors / Memory (DRAM / NAND) / Storage,4,3,5,5,4,4.2,High Risk,0.85,7676,15540,7670,37928,MU_FY2023_annotation.json
MU,"Micron Technology, Inc.",2024,2024-08-29,Semiconductors / Memory (DRAM / NAND) / Storage / HBM,4,3,4,5,4,4.0,High Risk,0.85,8386,25111,7700,39749,MU_FY2024_annotation.json
NVDA,NVIDIA Corporation,2023,2023-01-29,Semiconductor (Fabless) / AI Accelerated Computing,3,4,3,2,2,2.85,Medium Risk,0.82,1833,26974,844,,NVDA_FY2023_annotation.json
NVDA,NVIDIA Corporation,2024,2024-01-28,Semiconductor (Fabless) / AI Accelerated Computing,4,5,3,1,2,3.1,Medium-High Risk,0.8,1069,60922,894,,NVDA_FY2024_annotation.json
NVDA,NVIDIA Corporation,2025,2025-01-26,Semiconductor (Fabless) / AI Accelerated Computing,4,4,4,2,3,3.45,Medium-High Risk,0.82,3236,130497,1300,,NVDA_FY2025_annotation.json
ORCL,Oracle Corporation,2023,2023-05-31,Enterprise Software / Cloud Infrastructure (OCI) / Database,4,5,3,4,4,4.0,High Risk,0.85,8695,49954,2526,,ORCL_FY2023_annotation.json
ORCL,Oracle Corporation,2024,2024-05-31,Enterprise Software / Cloud Infrastructure (OCI) / Database,4,4,3,3,4,3.6,Medium-High Risk,0.85,6866,52961,3129,,ORCL_FY2024_annotation.json
ORCL,Oracle Corporation,2025,2025-05-31,Enterprise Software / Cloud Infrastructure (OCI) / Database,5,5,3,5,4,4.45,High Risk,0.85,21215,57399,3867,,ORCL_FY2025_annotation.json
TSLA,"Tesla, Inc.",2022,2022-12-31,"Electric Vehicles / Energy Storage / AI (FSD, robotics) - Manufacturing-Tech Hybrid",4,3,2,3,4,3.2,Medium-High Risk,0.8,7158,81462,2440,23548,TSLA_2022_annotation.json
TSLA,"Tesla, Inc.",2023,2023-12-31,"Electric Vehicles / Energy Storage / AI (FSD, robotics) - Manufacturing-Tech Hybrid",4,3,2,3,4,3.2,Medium-High Risk,0.8,8898,96773,3330,29725,TSLA_2023_annotation.json
TSLA,"Tesla, Inc.",2024,2024-12-31,"Electric Vehicles / Energy Storage / AI (FSD, robotics) - Manufacturing-Tech Hybrid",4,3,3,4,5,3.75,High Risk,0.8,11340,97690,3300,38000,TSLA_2024_annotation.json
